id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1277585436324450308,2020-06-29 12:51:19+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @manu5997: #WakeupHRDpostponeNEETjee
@DG_NTA 
@DrRPNishank 
@AICTE_INDIA 
@drharshvardhan 
@narendramodi 
We students our in a lot of fe…",We students lot fe,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,SainyamAggarwal,,WakeupHRDpostponeNEETjee,"manu5997, DG_NTA, DrRPNishank, AICTE_INDIA, drharshvardhan, narendramodi",,
1277585440455798785,2020-06-29 12:51:20+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""Unfortunately, the sports coverage we have in this country, is far below satisfactory. It’s shit. ""… https://t.co/imHWJhX7BG",`` Unfortunately sports coverage country far satisfactory Its shit. ``,"Sentiment(polarity=-0.20000000000000004, subjectivity=0.9333333333333332)",-0.20000000000000004,0.9333333333333332,en,0,0,cheatrcoksports,0.0,,,,India
1277585444688080897,2020-06-29 12:51:21+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Surgeon_General: Headed out in public this week? Wear a face covering to protect others. #COVID19 https://t.co/VBORiBowtt,Headed public week Wear face covering protect others,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666668,en,0,0,bethmedpeds,0.0,COVID19,Surgeon_General,,
1277585448697643009,2020-06-29 12:51:22+00:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","COVID-19 effect: Indian Film Festival of Melbourne rescheduled to late 2020

#covid19 #lockdown #FilmFestival… https://t.co/INz6VBY3BP",COVID-19 effect Indian Film Festival Melbourne rescheduled late,"Sentiment(polarity=-0.3, subjectivity=0.6)",-0.3,0.6,en,0,0,tellychakkar,0.0,"covid19, lockdown, FilmFestival",,,"Mumbai, India"
1277585453625905152,2020-06-29 12:51:23+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MrPatriotVet1: @PeteKent01 @RetUSCG2010 @inthecopa Millions of new tests, and they certainly verify that COVID19 is not a danger to mos…",Millions new tests certainly verify COVID19 danger mos,"Sentiment(polarity=0.17532467532467533, subjectivity=0.512987012987013)",0.17532467532467533,0.512987012987013,en,0,0,TeressaRichLang,,,"MrPatriotVet1, PeteKent01, RetUSCG2010, inthecopa",,"Washington, USA"
1277585458726203403,2020-06-29 12:51:24+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnantBhan: Most lockdown and #COVID19 reporting has been from urban areas/cities. In this article, we highlight the challenges in rural…",Most lockdown reporting urban areas/cities In article highlight challenges rural,"Sentiment(polarity=0.16666666666666666, subjectivity=0.16666666666666666)",0.16666666666666666,0.16666666666666666,en,0,0,CognisantDoc,,COVID19,AnantBhan,,"Uttarakhand, India"
1277585463143026688,2020-06-29 12:51:25+00:00,"<a href=""https://parc.pro"" rel=""nofollow"">COVID19-Updates</a>","251 new cases and 1 new death in Uzbekistan 

[13:51 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",new cases new death Uzbekistan 13:51 GMT,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545,en,0,0,COVIDLive,,"coronavirus, CoronaVirusUpdate, COVID19, CoronavirusPandemic",,,
1277585465579798528,2020-06-29 12:51:26+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GavinNewsom: Week ahead reminder:
- #COVID19 has not gone away.
- Wash your hands.
- Practice physical distancing.
- Wear a mask.
- TAK…",Week ahead reminder gone away.- Wash hands.- Practice physical distancing.- Wear mask.- TAK,"Sentiment(polarity=0.0, subjectivity=0.14285714285714285)",0.0,0.14285714285714285,en,0,0,JuddW400,,COVID19,GavinNewsom,,USA
1277585469677752320,2020-06-29 12:51:27+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@HermaineM @elaineofficial_ https://t.co/HIShaWZG6j

I see myself 🥇 one too, On God 😭😭😭🇿🇦🇱🇸🔥",see one On God,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,OfficialJugz_,0.0,,"HermaineM, elaineofficial_",,
1277585475738402821,2020-06-29 12:51:28+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @theSNP: 🔎  Prof. Jeremy Farrar, SAGE member and head of the Wellcome Trust, praises Scotland for its clear #COVID19 strategy.

💛  Our p…",Prof. Jeremy Farrar SAGE member head Wellcome Trust praises Scotland clear strategy Our p,"Sentiment(polarity=0.10000000000000002, subjectivity=0.3833333333333333)",0.10000000000000002,0.3833333333333333,en,0,0,Scottishblue1,,COVID19,theSNP,,
1277585480729722881,2020-06-29 12:51:29+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SaharaReporters: VIDEO: Ondo State Governor, @RotimiAkeredolu publicly sneezing as he failed to observe #COVID19 protocols when he went…",VIDEO Ondo State Governor publicly sneezing failed observe protocols went,"Sentiment(polarity=-0.25, subjectivity=0.18333333333333332)",-0.25,0.18333333333333326,en,0,0,Bobaisky,,COVID19,"SaharaReporters, RotimiAkeredolu",,
